Date,Content,Video title,Video publish time,Duration,Stayed to watch (%)
2011-07-27,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-28,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-29,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-30,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-31,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-01,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-02,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-03,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-04,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-05,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-06,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-07,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-08,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-10,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-11,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-12,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-13,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-14,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-15,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-16,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-17,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-18,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-19,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
