Content,Video title,Video publish time,Duration,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Engaged views,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
iSS_9PHrQg0,You should just choose Laravel,"Nov 17, 2023",803,,,,,,,42521,0:04:13,31.57,42521,2994.668,879,67.108,778037,3.72
ij5vpL9YDEc,You should stop using booleans in your database,"Aug 4, 2025",583,,,,,,,5777,0:03:00,31.01,5777,290.0936,31,12.286,56076,5.1
irNlLuUx4-8,Josh Cirre - Laravel Technical Support Engineer,,143,,,,,,,4,0:01:04,45.22,4,0.0718,0,,0,
jGtACFfW4rk,Your Livewire Upload Fields Deserve to Look Better,"Jul 18, 2024",523,,,,,,,3107,0:03:08,36.02,3107,162.586,17,5.998,35168,5.5
jZxXcwa9Sb8,Is Laravel changing too fast? (State of Laravel Survey Reaction),"Sep 4, 2024",1523,,,,,,,2545,0:05:25,21.4,2545,230.3996,6,7.432,44283,3.24
k2Kzv4VrWj8,Is this better than HTMX?,"Aug 9, 2024",720,,,,,,,16711,0:03:02,25.4,16711,848.8561,104,35.349,112126,8.7
k7T729NozZA,The Recap,,4702,,,,,,,131,0:06:22,8.14,131,13.9129,1,,4144,1.42
kikIC8TyF2A,Back-end Developers are Gonna Love This,"Aug 2, 2024",883,,,,,,,21673,0:02:54,19.81,21673,1053.2555,177,37.682,208378,6.37
mGVChGyFGDw,Let's be honest. What does your landing page REALLY say?,"Aug 8, 2023",503,,,,,,,43,0:01:33,18.61,43,1.1178,1,0.011,8114,0.22
mLwsbDDYuQw,Dev's Don't Admire Laravel?! (Stack Overflow Survey Reaction),"Jul 29, 2024",2183,,,,,,,8622,0:05:01,13.82,8622,722.6727,54,13.154,123149,4.37
meEwQYmGbuw,Theo Fixed My Videos,"Oct 12, 2024",237,,,,,,,3578,0:01:55,48.54,3578,114.333,25,5.384,28943,5.95
mnVMteB13Ow,Should you switch to GPT-5?,"Aug 9, 2025",1069,,,,,,,1353,0:04:22,24.55,1353,98.6406,5,6.404,30190,2.58
mrZCp0L_eaU,Let's Go Fishing: Landing Page Style,"Aug 8, 2023",280,,,,,,,47,0:01:13,26.26,47,0.96,1,0.019,6826,0.44
ntOv22v01QE,I Don't Care How You Pronounce SQL,"Jul 5, 2024",727,,,,,,,793,0:02:34,21.3,793,34.112,5,1.111,20047,2.09
oD8H3jh5xfQ,The Git client you didn't know you needed,"Feb 14, 2024",907,,,,,,,8880,0:03:15,21.6,8880,483.32,35,13.339,100943,5.11
oEniUWbDqbQ,Stop learning and just do the thing,"Aug 9, 2024",1017,,,,,,,2738,0:03:28,20.48,2738,158.4286,13,4.529,37480,4.29
oEoIiI84LFc,Is Hypermedia the Future?,"Sep 20, 2024",863,,,,,,,4351,0:03:55,27.25,4351,284.1995,26,9.03,57759,4.34
oKtsGrWYSQ8,Is the Arc browser breaking up with me?,"Oct 26, 2024",1870,,,,,,,10442,0:06:06,19.57,10442,1061.6806,40,0.004,88855,5.6
o_i5g_nXFFo,I keep reading the entire Laravel documentation,"May 27, 2024",5674,,,,,,,565,0:02:02,2.17,565,19.3006,3,,11560,3.11
p-SW-F8I6pU,I bet you didn't know this about HTML forms,"Jul 2, 2024",157,,,,,,,2547,0:01:36,61.46,2547,68.2735,17,4.22,23657,5.77
p00U5prknBQ,Starting your Landing Page from Scratch,"Aug 8, 2023",225,,,,,,,230,0:01:01,27.22,230,3.9123,0,0.102,5414,2.62
p3arxL4jj28,Teaching an Astro Dev the Laravel Ways ft. @CodinginPublic,"Jun 7, 2025",8574,,,,,,,1544,0:08:17,5.8,1544,213.4204,3,1.449,21256,3.94
